county,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,percentage_of_county_at_least_one
Alameda,1491643,69226672,883191,40669182,522834,26057785,85618,2499705,858077,20717523,630981,25457693,943993,46175216,0.03833969375
Alpine,1441,49542,41,1743,1393,47684,7,115,806,14992,633,17319,814,32311,0.00003306010819
Amador,27280,1488732,6177,415265,20445,1054005,658,19462,16719,612959,10487,448047,17447,1061006,0.0007085991494
Butte,138465,7868609,60109,3486555,73426,4214856,4930,167198,75150,2042706,63054,2992406,80093,5035112,0.00325292782
Calaveras,30252,1588895,11608,519962,18086,1050936,558,17997,17114,496779,12975,554401,17801,1051180,0.0007229766412
Colusa,12366,568871,2532,139554,9249,407805,585,21512,7141,200506,5213,194775,7729,395281,0.0003139085703
Contra Costa,1089291,51880940,685990,30876732,367611,19923584,35690,1080624,609593,15259354,478224,18824905,645513,34084259,0.02621711255
Del Norte,14358,706379,4992,270274,8724,416646,642,19459,7999,211752,6335,255550,8610,467302,0.0003496898422
El Dorado,133805,6994624,61156,3305707,68277,3536176,4372,152741,75487,2048467,57900,2540026,79867,4588493,0.003243748969
Fresno,627748,31087786,291323,14563054,312814,15730044,23611,794688,356183,10255165,269364,10850839,383597,21106004,0.01557955568
Glenn,16215,836145,5235,273554,10142,531784,838,30807,8778,225927,7405,319947,9611,545874,0.0003903448401
Humboldt,98454,5083593,47027,2452063,47301,2488855,4126,142675,56216,1555498,41935,1827788,60349,3383286,0.002451037431
Imperial,108529,4877155,48437,2259217,51737,2327357,8355,290581,64322,1703062,44024,1731868,72782,3434930,0.002955996062
Inyo,13737,753974,4829,321998,8527,421753,381,10223,7686,196015,6042,284021,8068,480036,0.0003276768463
Kern,467865,22332163,221816,10187851,223904,11370693,22145,773619,261061,7015268,205857,8025169,283116,15040437,0.01149858181
Kings,61111,2926603,24646,1071484,32805,1728792,3660,126327,34732,1057379,26384,1004854,38453,2062233,0.00156174489
Lake,40165,2217356,11736,689999,26897,1468913,1532,58444,22266,632632,17832,820295,23797,1452927,0.0009665004848
Lassen,10961,603873,1556,122533,8732,456173,673,25167,5602,162543,5312,231757,6277,394300,0.0002549364854
Los Angeles,7608373,362156174,3848322,184948777,3449688,167528665,310363,9678732,4411423,114496701,3180359,128290383,4721262,242787084,0.1917511456
Madera,88567,4358339,41373,1927818,43792,2310417,3402,120104,50254,1449900,38072,1525285,54382,2975185,0.002208691405
Marin,298205,14663588,177213,8361852,112987,6046725,8005,255011,166135,4102434,131538,5397016,174134,9499450,0.007072345061
Mariposa,9614,496327,1382,85328,7878,397429,354,13570,6194,229211,3395,141145,6576,370356,0.0002670801861
Mendocino,70559,4207347,36604,2118425,31823,2016765,2132,72157,39189,1138044,31061,1557000,41333,2695044,0.001678714314
Merced,135450,6480330,73405,3647015,55907,2619359,6138,213956,79811,2382515,54038,2140707,86114,4523222,0.003497467023
Modoc,4565,284312,483,37101,3819,236168,263,11043,2307,57534,2252,118791,2568,176325,0.0001042977369
Mono,13923,877221,8179,580565,5561,291040,183,5616,7366,182545,6525,349442,7552,531987,0.0003067198244
Monterey,319505,13955588,139363,6258580,165872,7224833,14270,472175,185382,4620691,133403,4895577,199702,9516268,0.008110773619
Napa,134865,7266906,64427,3300779,66976,3852777,3462,113350,78111,2082512,56652,2649969,81569,4732481,0.00331287465
Nevada,72334,3620059,39264,1983842,31372,1575076,1698,61141,41454,1176358,30643,1248696,43149,2425054,0.001752470035
Orange,2531590,119671308,1337316,63847169,1122644,53455060,71630,2369079,1458863,37015447,1066666,42444354,1532098,79459801,0.06222521577
Placer,304215,16314274,165439,8863229,132431,7235098,6345,215947,173049,4489768,130637,6009715,179436,10499483,0.007287682523
Plumas,13116,628989,925,73642,11505,528731,686,26616,6827,182800,6256,235903,7510,418703,0.0003050140203
Riverside,1497323,73051211,791424,38075455,663783,33485897,42116,1489859,864482,23573685,630020,25499946,909425,49073631,0.03693573574
Sacramento,1045971,51038945,546036,27148137,472447,23005940,27488,884868,599638,15235595,444263,18307950,627239,33543545,0.02547492531
San Benito,41940,1792362,19632,679537,20078,1037917,2230,74908,24381,591885,17305,634596,26559,1226481,0.001078677412
San Bernardino,1198145,58171711,657039,32251051,502358,24688914,38748,1231746,694189,17682253,502016,20826263,733095,38508516,0.02977420149
San Diego,2725576,136821312,1361646,65031728,1293691,69557051,70239,2232533,1577108,53292773,1146513,49226034,1976651,102518807,0.08028046181
San Francisco,885457,40929585,543823,24306199,303863,15461779,37771,1161607,515820,12602997,368289,14722206,553603,27325203,0.02248424456
San Joaquin,442079,20587313,231615,10703541,193808,9394231,16656,489541,260364,6699952,180015,7177043,278184,13876995,0.01129827167
San Luis Obispo,220542,10813301,110581,5329656,102231,5217961,7730,265684,125124,3211969,94992,3925836,132865,7137805,0.005396230067
San Mateo,737382,35347651,416900,19379274,291840,15133715,28642,834662,427518,10435692,308605,12849833,456332,23285525,0.01853364286
Santa Barbara,351872,15834007,194925,8143242,141959,7167366,14988,523399,203089,5151553,148137,5588878,218049,10740431,0.008855925714
Santa Clara,1728678,76059666,1002900,40608816,652358,33260048,73420,2190802,1051733,24676212,673777,26735637,1125475,51411849,0.0457104733
Santa Cruz,250539,12362504,110607,4859065,134425,7328593,5507,174846,148907,4009352,101209,4256751,154439,8266103,0.006272444778
Shasta,92311,5139460,37218,2104055,51141,2887183,3952,148222,51765,1594210,40437,1844421,55703,3438631,0.002262343006
Sierra,2591,128798,146,9043,2437,119567,8,188,1341,30687,1245,49088,1349,79775,0.00005478880338
Siskiyou,25388,1464848,10357,575073,14367,864466,664,25309,14107,419628,11251,534878,14772,954506,0.0005999556735
Solano,325674,16665467,161674,8447091,156783,7988746,7217,229630,191206,5253000,133859,5808181,198422,11061181,0.008058787208
Sonoma,461029,23327055,237219,11745535,211085,11131892,12725,449628,260615,6860316,199629,8437868,273312,15298184,0.01110039839
Stanislaus,335063,16106225,180840,8355868,142587,7325019,11636,425338,196983,5774658,135545,5351245,209664,11125903,0.008515374108
Sutter,59064,3082604,20478,1120295,35619,1870546,2967,91763,32703,934138,26193,1116953,35658,2051091,0.001448227688
Tehama,26694,1358035,8262,306402,17746,1027152,686,24481,14502,388786,12154,496072,15192,884858,0.0006170137145
Trinity,6747,348030,719,43439,5745,294382,283,10209,3813,113724,2927,122090,4094,235814,0.0001662752862
Tulare,259902,12770675,143953,6772039,108663,5756808,7286,241828,145006,3885812,114402,4555649,152319,8441461,0.006186342284
Tuolumne,37803,2127154,9362,610619,28003,1501732,438,14803,20978,615706,16662,762075,21484,1377781,0.0008725594157
Ventura,681962,32381238,335542,16364318,323531,15301687,22889,715233,387809,10064887,292954,11494169,410749,21559056,0.01668231742
Yolo,177440,8856951,81059,4089950,91494,4608248,4887,158753,103861,2781896,73308,3112461,108780,5894357,0.00441803264
Yuba,33125,1616471,9944,506337,20950,1044716,2231,65418,18251,504530,14814,587560,20477,1092090,
